day,old_testament,ot_verses,new_testament,nt_verses,psalms_proverbs,pp_verses,total_verses
42,Leviticus 11–12,55,Mark 12,44,Psalm 27,14,113
43,Leviticus 13–14,116,Mark 13,37,Psalm 28,9,162
44,Leviticus 15–16,67,Mark 14:1–31,31,Psalm 29,11,109
45,Leviticus 17–18,46,Mark 14:32–72,41,Psalm 30,12,99
46,Leviticus 19–21,88,Mark 15,47,Proverbs 6:1–19,19,154
47,Leviticus 22–23,77,Mark 16,20,Proverbs 6:20–35,16,113
48,Leviticus 24–25,78,Luke 1:1–25,25,Psalm 31,24,127
49,Leviticus 26–27,80,Luke 1:26–56,31,Psalm 32,11,122
50,Numbers 1,54,Luke 1:57–80,24,Psalm 33,22,100
51,Numbers 2–3,85,Luke 2,52,Psalm 34,22,159
52,Numbers 4,49,Luke 3,38,Proverbs 7,27,114
53,Numbers 5–6,58,Luke 4,44,Psalm 35,28,130
54,Numbers 7–8,115,Luke 5,39,Psalm 36,12,166
55,Numbers 9–10,59,Luke 6,49,Psalm 37:1–20,20,128
56,Numbers 11–13,84,Luke 7,50,Psalm 37:21–40,20,154
57,Numbers 14,45,Luke 8,56,Psalm 38,22,123
58,Numbers 15–16,91,Luke 9:1–36,36,Psalm 39,13,140
59,Numbers 17–19,67,Luke 9:37–62,26,Proverbs 8:1–11,11,104
60,Numbers 20–21,64,Luke 10,42,Proverbs 8:12–21,10,116
61,Numbers 22–24,96,Luke 11:1–26,26,Proverbs 8:22–36,15,137
62,Numbers 25–26,83,Luke 11:27–54,28,Psalm 40,17,128
63,Numbers 27–28,54,Luke 12,59,Psalm 41,13,126
64,Numbers 29–30,56,Luke 13,35,Psalm 42,11,102
65,Numbers 31–32,96,Luke 14,35,Psalm 43,5,136
66,Numbers 33–34,85,Luke 15,32,Psalm 44,26,143
67,Numbers 35–36,47,Luke 16,31,Proverbs 9:1–6,6,84
68,Deuteronomy 1–2,83,Luke 17,37,Proverbs 9:7–12,6,126
69,Deuteronomy 3–4,78,Luke 18,43,Proverbs 9:13–18,6,127
70,Deuteronomy 5–7,84,Luke 19,48,Psalm 45,17,149
71,Deuteronomy 8–10,71,Luke 20,47,Psalm 46,11,129
72,Deuteronomy 11–12,64,Luke 21,38,Psalm 47,9,111
73,Deuteronomy 13–15,70,Luke 22:1–38,38,Psalm 48,14,122
74,Deuteronomy 16–19,85,Luke 22:39–71,33,Psalm 49,20,138
75,Deuteronomy 20–22,73,Luke 23,56,Proverbs 10:1–8,8,137
76,Deuteronomy 23–25,66,Luke 24,53,Proverbs 10:9–16,8,127
77,Deuteronomy 26–27,45,John 1,51,Proverbs 10:17–24,8,104
78,Deuteronomy 28–29,97,John 2,25,Proverbs 10:25–32,8,130
